Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2017-01-19,2017,DMR Daily - MI0020257 _12_01_2016_to_12_31_2016_V1.docx,DMR Daily Data for period 12/01/2016 - 12/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,4872492887140551247,https://mienviro.michigan.gov/ncore/downloadpdf/4872492887140551247,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-01-19,2017,DMR Summary - MI0020257 _12_01_2016_to_12_31_2016_V1.docx,DMR Summary Data for period 12/01/2016 - 12/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-7309370182573156453,https://mienviro.michigan.gov/ncore/downloadpdf/-7309370182573156453,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-02-14,2017,DMR Daily - MI0020257 _01_01_2017_to_01_31_2017_V1.docx,DMR Daily Data for period 01/01/2017 - 01/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-563435129997574625,https://mienviro.michigan.gov/ncore/downloadpdf/-563435129997574625,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-02-14,2017,DMR Summary - MI0020257 _01_01_2017_to_01_31_2017_V1.docx,DMR Summary Data for period 01/01/2017 - 01/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-241954493317709276,https://mienviro.michigan.gov/ncore/downloadpdf/-241954493317709276,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-03-16,2017,DMR Daily - MI0020257 _02_01_2017_to_02_28_2017_V1.docx,DMR Daily Data for period 02/01/2017 - 02/28/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-5281439668552468208,https://mienviro.michigan.gov/ncore/downloadpdf/-5281439668552468208,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-03-16,2017,DMR Summary - MI0020257 _02_01_2017_to_02_28_2017_V1.docx,DMR Summary Data for period 02/01/2017 - 02/28/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,6361322379720926853,https://mienviro.michigan.gov/ncore/downloadpdf/6361322379720926853,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-19,2017,DMR Daily - MI0020257 _03_01_2017_to_03_31_2017_V1.docx,DMR Daily Data for period 03/01/2017 - 03/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,5374658919181652521,https://mienviro.michigan.gov/ncore/downloadpdf/5374658919181652521,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-19,2017,DMR Summary - MI0020257 _03_01_2017_to_03_31_2017_V1.docx,DMR Summary Data for period 03/01/2017 - 03/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-2462697300358445557,https://mienviro.michigan.gov/ncore/downloadpdf/-2462697300358445557,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-05-17,2017,DMR Daily - MI0020257 _04_01_2017_to_04_30_2017_V1.docx,DMR Daily Data for period 04/01/2017 - 04/30/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-6506352065203311462,https://mienviro.michigan.gov/ncore/downloadpdf/-6506352065203311462,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-05-17,2017,DMR Summary - MI0020257 _04_01_2017_to_04_30_2017_V1.docx,DMR Summary Data for period 04/01/2017 - 04/30/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,7441804851118153573,https://mienviro.michigan.gov/ncore/downloadpdf/7441804851118153573,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
