ListPosition,DocMgmtId,URL,HTTP,Result,SavedFile,OriginalName,DocDate,Bytes,SHA256,Error
31,-3570540961383078534,https://mienviro.michigan.gov/ncore/downloadpdf/-3570540961383078534,200,VERIFIED_IDENTICAL,0031_2013-05-23_Pre-Public Notice Letter.pdf,Pre-Public Notice Letter.doc,2013-05-23,44515,fb21b621420c347113c279bd2b783f080187ab43c4a97d3c4c91d3c139a1e0e2,
32,2042187794808505003,https://mienviro.michigan.gov/ncore/downloadpdf/2042187794808505003,200,VERIFIED_IDENTICAL,0032_2013-05-23_Public Notice Document.pdf,Public Notice Document.doc,2013-05-23,47965,9c5eca55f50298a7b279e45f5a62f69511ee247c2c6e18b3cf83b6fae08a2011,
33,7597357992452969174,https://mienviro.michigan.gov/ncore/downloadpdf/7597357992452969174,200,VERIFIED_IDENTICAL,0033_2013-06-07_Cadillac WWTP IPP 2011.pdf,Cadillac WWTP IPP 2011.pdf,2013-06-07,2936846,8191c7e18aac4f155de74b11e2233529db07192506e5b38ba238ae3e5a3a44fa,
34,691496640525586540,https://mienviro.michigan.gov/ncore/downloadpdf/691496640525586540,200,VERIFIED_IDENTICAL,0034_2013-07-17_Cadillac PPN Email.pdf,Cadillac PPN Email.pdf,2013-07-17,24670,fc4cdee2334ed73e36faf276f8e77870c2bda256e084183cfd41565d87f66524,
35,6433966495781532147,https://mienviro.michigan.gov/ncore/downloadpdf/6433966495781532147,200,VERIFIED_IDENTICAL,0035_2013-07-17_Cadillac WWTP Draft Permit.pdf,Cadillac WWTP Draft Permit.pdf,2013-07-17,146258,eab262c18ad36bc98ad62f04e72d8b6a8e03a071e1e389a0bd685616a406316b,
36,-7691202997137362379,https://mienviro.michigan.gov/ncore/downloadpdf/-7691202997137362379,200,VERIFIED_IDENTICAL,0036_2013-08-08_CadillacWWTP_ToxicsFactSheet.pdf,CadillacWWTP_ToxicsFactSheet.pdf,2013-08-08,155911,3be60aade3cc97cc96fd776c0ac50dda97783f9c6d4854e730af67e41f49a3af,
37,-5476792548719461782,https://mienviro.michigan.gov/ncore/downloadpdf/-5476792548719461782,200,VERIFIED_IDENTICAL,0037_2013-08-08_General Purpose Memo.pdf,General Purpose Memo.doc,2013-08-08,72345,1c00611c5984fbfb5b78f07a7d3ab543ddb9578503ea224b693a9e2c540501e1,
38,4611196213415728235,https://mienviro.michigan.gov/ncore/downloadpdf/4611196213415728235,200,VERIFIED_IDENTICAL,0038_2013-08-14_2013_0814_Cadillac WWTP_DMR QA-33.pdf,2013_0814_Cadillac WWTP_DMR QA-33.pdf,2013-08-14,1370064,0020874aad97bf0707f845b3fcbfff7ccdc5aa55971ad8bb5eeb3d624359666d,
39,-7391325481454595778,https://mienviro.michigan.gov/ncore/downloadpdf/-7391325481454595778,200,VERIFIED_IDENTICAL,0039_2013-08-16_Cadillac WWTP Basis for Decision Memo.pdf,Cadillac WWTP Basis for Decision Memo.pdf,2013-08-16,15001,945d8de957d5c696cec21537b88d9d4c2269e11dd4eee6484231f8ed073b68c0,
40,4017018463330352813,https://mienviro.michigan.gov/ncore/downloadpdf/4017018463330352813,200,VERIFIED_IDENTICAL,0040_2013-08-16_Cadillac WWTP PPN Comments.pdf,Cadillac WWTP PPN Comments.pdf,2013-08-16,48758,ce6a56a753b1a7f03d2fc5914a24e376780ab62b9c60315e096f3e348dc67a8d,
41,-8309188111481449431,https://mienviro.michigan.gov/ncore/downloadpdf/-8309188111481449431,200,VERIFIED_IDENTICAL,0041_2013-08-16_Cadillac WWTP PPN Email Exchange 2.pdf,Cadillac WWTP PPN Email Exchange 2.pdf,2013-08-16,54341,5a65001ec1b9f460e1faaeab5e28df4961b36b846d5a3336e33afe7cf9eae4c5,
42,-2888412398541189349,https://mienviro.michigan.gov/ncore/downloadpdf/-2888412398541189349,200,VERIFIED_IDENTICAL,0042_2013-08-16_Cadillac WWTP PPN Email Exchange.pdf,Cadillac WWTP PPN Email Exchange.pdf,2013-08-16,57477,4d33f697af5efbc94546c6d885deed1f76d072bcb733e19e6e6da547f7ae793b,
43,-3380254261609336174,https://mienviro.michigan.gov/ncore/downloadpdf/-3380254261609336174,200,VERIFIED_IDENTICAL,0043_2013-08-16_Cadillac WWTP Public Notice Draft Permit.pdf,Cadillac WWTP Public Notice Draft Permit.pdf,2013-08-16,146412,4fd7f7e6bc24156dcaac01539942d49b2b1743342f3eb417cfc48e34c619f81d,
44,7362722464259672092,https://mienviro.michigan.gov/ncore/downloadpdf/7362722464259672092,200,VERIFIED_IDENTICAL,0044_2013-08-16_Cadillac WWTP Public Notice Email.pdf,Cadillac WWTP Public Notice Email.pdf,2013-08-16,25090,24e90c7c60780a785afa4f10b17521e00f735a7c18c5a296ee05752424ab8b97,
45,-4130029830579911351,https://mienviro.michigan.gov/ncore/downloadpdf/-4130029830579911351,200,VERIFIED_IDENTICAL,0045_2013-08-16_Cadillac WWTP Response to Comments Email.pdf,Cadillac WWTP Response to Comments Email.pdf,2013-08-16,55354,0c57d1accdb1e78f9070fd5669877a56b80c467ebf8bc63c1d29c4ec6040e731,
46,3731373716033583448,https://mienviro.michigan.gov/ncore/downloadpdf/3731373716033583448,200,VERIFIED_IDENTICAL,0046_2013-08-16_Cadillac WWTP Response to Comments.pdf,Cadillac WWTP Response to Comments.pdf,2013-08-16,10485,794fa716ff9bc4e1e606417df33b733ae4410b42af19a2a79ca9fa90295abcd2,
