ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/29/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/28/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/27/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/26/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/23/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/22/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/21/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/20/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/19/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/16/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/15/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/14/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/13/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/12/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/9/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/8/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/7/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/6/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/5/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/2/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/1/2011 12:00:00 AM",,WRD - NPDES,E-B93B-3B-536E,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/29/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/28/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
