Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2017-04-03,2017,Plant Brochure.pdf v1,Plant Brochure.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),3937714205518051674,https://mienviro.michigan.gov/ncore/downloadpdf/3937714205518051674,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,REC BOAT CABINETRY.docx v1,REC BOAT CABINETRY.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-6842767691186545255,https://mienviro.michigan.gov/ncore/downloadpdf/-6842767691186545255,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,REC BOAT CRUISER.docx v1,REC BOAT CRUISER.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-123817907349178312,https://mienviro.michigan.gov/ncore/downloadpdf/-123817907349178312,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,REC BOAT SPORT.docx v1,REC BOAT SPORT.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-6756834478233780033,https://mienviro.michigan.gov/ncore/downloadpdf/-6756834478233780033,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,REC BOAT TRAILER.docx v1,REC BOAT TRAILER.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-505155985048363429,https://mienviro.michigan.gov/ncore/downloadpdf/-505155985048363429,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,SPENCER.docx v1,SPENCER.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),1829985439158043192,https://mienviro.michigan.gov/ncore/downloadpdf/1829985439158043192,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,WEXFORD LANDFILL.docx v1,WEXFORD LANDFILL.docx,Permit / Application,Critical,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),2929107239418671816,https://mienviro.michigan.gov/ncore/downloadpdf/2929107239418671816,2017 Wexford Landfill SIU attachment fully read; hard copy recovered in packet
2017-04-03,2017,Wet Test ERM 2-2-2017.pdf v1,Wet Test ERM 2-2-2017.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4072267205926815735,https://mienviro.michigan.gov/ncore/downloadpdf/-4072267205926815735,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,2017 As Applied - 17EK01.xlsx v1,Land App Site - April 2017,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,7951970310208812203,https://mienviro.michigan.gov/ncore/downloadpdf/7951970310208812203,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,2017 As Applied - 17RW01.xlsx v1,Land app Site - April 2017,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-1675409833587234275,https://mienviro.michigan.gov/ncore/downloadpdf/-1675409833587234275,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,2017 As Applied - 30GR01.xlsx v1,Land App Site - Oct 2016,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-5897892034958233867,https://mienviro.michigan.gov/ncore/downloadpdf/-5897892034958233867,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,2017 As Applied - 31DG01.xlsx v1,Land App site - April 2017,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-4564688140221150418,https://mienviro.michigan.gov/ncore/downloadpdf/-4564688140221150418,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,"31DG01, 17EK01, 17RW01 - Analytical.pdf v1","FY17 Results - March 2017 - Metals, Nutrients & Volatiles",Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,1336509163278193309,https://mienviro.michigan.gov/ncore/downloadpdf/1336509163278193309,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,31GR01 - Analytical.pdf v1,Sept. 2016 test for haul in Oct. 2016 - Metals & Nutrients,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-2488798986427058681,https://mienviro.michigan.gov/ncore/downloadpdf/-2488798986427058681,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,Applier Cert. of Pathogens and Vector Attraction Reduction.doc v1,Applier - Cert. of Pathogens & VARs,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-1688568603305138344,https://mienviro.michigan.gov/ncore/downloadpdf/-1688568603305138344,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,Class B Site Restrictions Certification.doc v1,Applier Site Restr. Certification,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,1498609859186270953,https://mienviro.michigan.gov/ncore/downloadpdf/1498609859186270953,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,HML Fall 2016.pdf v1,Sept. test for haul in Oct. - Class A Pathogen results,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-4030890897963029912,https://mienviro.michigan.gov/ncore/downloadpdf/-4030890897963029912,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,Mgt Practices Certification.doc v1,Applier Cert. - Mgt Practices,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,8684882921218429674,https://mienviro.michigan.gov/ncore/downloadpdf/8684882921218429674,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,Spring Biosolids HML 2017.pdf v1,FY17 - Class A Pathogen results - Mar. 2017,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,-7940855265872368210,https://mienviro.michigan.gov/ncore/downloadpdf/-7940855265872368210,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-03-28,2018,Notice of SNC.jpg v1,Notice of SNC.jpg,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report,-3545021326186909476,https://mienviro.michigan.gov/ncore/downloadpdf/-3545021326186909476,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-03-28,2018,POTW_Monitoring_Data_Summary.xlsx v1,POTW_Monitoring_Data_Summary.xlsx,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report,-6012504194437617428,https://mienviro.michigan.gov/ncore/downloadpdf/-6012504194437617428,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-03-28,2018,POTW_Oversight_Table.xlsx v1,POTW_Oversight_Table.xlsx,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report,-2139264245510326741,https://mienviro.michigan.gov/ncore/downloadpdf/-2139264245510326741,2018 POTW oversight table previously verified; deep link indexed
2018-03-28,2018,SIU-CIU_List.xlsx v1,SIU-CIU_List.xlsx,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report,4593201925321274393,https://mienviro.michigan.gov/ncore/downloadpdf/4593201925321274393,2018 SIU/CIU list previously verified; deep link indexed
2018-07-30,2018,2018 IPP Screening - Monitoring Plan.180627modif.pdf v1,2018 IPP Screening - Monitoring Plan.180627modif.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,3843258762491556904,https://mienviro.michigan.gov/ncore/downloadpdf/3843258762491556904,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,AAR PFAS Survey.pdf v1,AAR PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,4911742624297732370,https://mienviro.michigan.gov/ncore/downloadpdf/4911742624297732370,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,APS PFAS Screening.pdf v1,APS PFAS Screening.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-7526274208066539815,https://mienviro.michigan.gov/ncore/downloadpdf/-7526274208066539815,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,American Waste PFAS Survey.pdf v1,American Waste PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,5907977853460013045,https://mienviro.michigan.gov/ncore/downloadpdf/5907977853460013045,2018 American Waste PFAS Survey fully read; hard copy recovered in packet
2018-07-30,2018,Arvco PFAS Survey.pdf v1,Arvco PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,9098738459686432357,https://mienviro.michigan.gov/ncore/downloadpdf/9098738459686432357,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,Avon PFAS Survey.pdf v1,Avon PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,63610395187544635,https://mienviro.michigan.gov/ncore/downloadpdf/63610395187544635,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,CCI PFAS Survey.pdf v1,CCI PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-2532227711322477530,https://mienviro.michigan.gov/ncore/downloadpdf/-2532227711322477530,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,FIAMM PFAS Survey.pdf v1,FIAMM PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-5118843658505132177,https://mienviro.michigan.gov/ncore/downloadpdf/-5118843658505132177,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,HAVS PFAS Survey.docx v1,HAVS PFAS Survey.docx,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-4128789177103566747,https://mienviro.michigan.gov/ncore/downloadpdf/-4128789177103566747,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,Mich Rubber PFAS Survey.pdf v1,Mich Rubber PFAS Survey.pdf,Industrial Pretreatment / IPP,High,,Applicant Attachments,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-1446023942601055554,https://mienviro.michigan.gov/ncore/downloadpdf/-1446023942601055554,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
